symbol,side,direction,create_time,entry_time,exit_time,create_idx,entry_idx,exit_idx,entry_price,sl_price,tp_price,structural_stop_price,stop_distance_pips,stop_distance_atr,origin_swing_price,origin_swing_idx,sweep_price,sweep_idx,bos_break_price,bos_break_idx,bos_level,bos_direction,zone_low,zone_high,zone_size_atr,bars_since_fvg_creation,fvg_type,fvg_mid,pnl_r,holding_bars,exit_reason,mfe_r,mae_r
GBPUSD,LONG,1,2011-08-23 10:00:00+00:00,2011-08-23 16:00:00+00:00,2011-08-23 17:00:00+00:00,8411,8417,8418,1.65061,1.657,1.6633900000000001,1.657,0.006390000000000118,2.3548302184785923,1.657,8412,1.657,8414,1.6522000000000001,8414,1.65195,1,1.64822,1.64881,0.29776496034612,6,fvg_bullish,1.6485150000000002,1.0,1,sl_hit,0.4788732394366207,-0.19874804381844427
GBPUSD,LONG,1,2011-10-07 11:00:00+00:00,2011-10-07 13:00:00+00:00,2011-10-07 14:00:00+00:00,9204,9206,9207,1.55196,1.55517,1.5583799999999999,1.55517,0.003209999999999935,1.1478927203064833,1.55517,9203,1.55517,9204,1.55165,9204,1.5457800000000002,1,1.54961,1.55065,0.36982473964953005,2,fvg_bullish,1.55013,1.0,1,sl_hit,0.806853582554493,0.0
GBPUSD,LONG,1,2012-10-17 12:00:00+00:00,2012-10-17 16:00:00+00:00,2012-10-17 17:00:00+00:00,15629,15633,15634,1.6169,1.6177700000000002,1.6186400000000003,1.6177700000000002,0.0008700000000001484,0.4858396489829065,1.6177700000000002,15631,1.6177700000000002,15632,1.61568,15632,1.61335,1,1.61408,1.6145399999999999,0.28982898289822245,4,fvg_bullish,1.61431,1.0,1,sl_hit,0.6666666666665816,-1.8390804597698538
GBPUSD,SHORT,-1,2013-02-14 20:00:00+00:00,2013-02-14 22:00:00+00:00,2013-02-14 23:00:00+00:00,17627,17629,17630,1.54907,1.54746,1.5458500000000002,1.54746,0.0016099999999998893,0.7061403508771603,1.54746,17627,1.54746,17628,1.54832,17628,1.54922,-1,1.5493299999999999,1.54938,0.02169197396967745,2,fvg_bearish,1.5493549999999998,1.0,1,sl_hit,0.25465838509319855,-0.20496894409935662
GBPUSD,SHORT,-1,2013-11-25 18:00:00+00:00,2013-11-25 20:00:00+00:00,2013-11-25 21:00:00+00:00,22440,22442,22443,1.61513,1.6133,1.61147,1.6133,0.0018299999999999983,1.1047865459249435,1.6133,22440,1.6133,22441,1.61479,22441,1.6185,-1,1.61548,1.6157599999999999,0.1789137380190637,2,fvg_bearish,1.6156199999999998,1.0,1,sl_hit,0.7650273224044094,0.010928961748584152
GBPUSD,SHORT,-1,2013-11-25 16:00:00+00:00,2013-11-26 10:00:00+00:00,2013-11-26 11:00:00+00:00,22438,22456,22457,1.6190799999999999,1.6133,1.60752,1.6133,0.005779999999999896,4.7266355140186,1.6133,22440,1.6133,22441,1.61479,22441,1.6185,-1,1.61742,1.61903,1.11916583912605,18,fvg_bearish,1.618225,1.0,1,sl_hit,0.1764705882352625,-0.024221453287202682
GBPUSD,SHORT,-1,2013-12-05 12:00:00+00:00,2013-12-05 13:00:00+00:00,2013-12-05 14:00:00+00:00,22626,22627,22628,1.63388,1.6337000000000002,1.6335200000000003,1.6337000000000002,0.00017999999999984695,0.11204979991097351,1.6337000000000002,22607,1.6337000000000002,22608,1.6352,22608,1.63692,-1,1.63581,1.63812,1.5767918088737072,1,fvg_bearish,1.636965,1.0,1,sl_hit,6.722222222227567,-9.555555555564602
GBPUSD,LONG,1,2014-04-21 08:00:00+00:00,2014-04-21 14:00:00+00:00,2014-04-21 15:00:00+00:00,24875,24881,24882,1.68006,1.68182,1.68358,1.68182,0.0017599999999999838,2.29209302325569,1.68182,24878,1.68182,24879,1.68046,24879,1.6801599999999999,1,1.67954,1.67996,0.44782939832427815,6,fvg_bullish,1.6797499999999999,1.0,1,sl_hit,0.2727272727272957,0.0
GBPUSD,LONG,1,2014-09-01 10:00:00+00:00,2014-09-01 11:00:00+00:00,2014-09-01 12:00:00+00:00,27157,27158,27159,1.66245,1.6630500000000001,1.6636500000000003,1.6630500000000001,0.000600000000000156,0.4808242701775449,1.6630500000000001,27156,1.6630500000000001,27157,1.66292,27157,1.66125,1,1.66056,1.66221,1.4519170333122307,1,fvg_bullish,1.6613850000000001,1.0,1,sl_hit,0.433333333333469,-1.3999999999995558
GBPUSD,SHORT,-1,2015-03-18 13:00:00+00:00,2015-03-18 18:00:00+00:00,2015-03-18 19:00:00+00:00,30501,30506,30507,1.4684300000000001,1.46343,1.45843,1.46343,0.0050000000000001155,1.8205461638491924,1.46343,30502,1.46343,30503,1.46377,30503,1.47231,-1,1.46856,1.47256,1.9628461268839417,5,fvg_bearish,1.47056,1.0,1,sl_hit,0.06799999999999982,-0.7279999999999563
GBPUSD,LONG,1,2015-04-27 19:00:00+00:00,2015-04-27 20:00:00+00:00,2015-04-27 21:00:00+00:00,31179,31180,31181,1.52287,1.5261,1.52933,1.5261,0.003230000000000066,1.0920067616518105,1.5261,31160,1.5261,31179,1.52443,31179,1.51894,1,1.52091,1.5232,0.799501246882854,1,fvg_bullish,1.522055,1.0,1,sl_hit,0.24767801857588778,-0.2569659442724054
GBPUSD,LONG,1,2015-07-06 19:00:00+00:00,2015-07-06 20:00:00+00:00,2015-07-06 21:00:00+00:00,32379,32380,32381,1.56084,1.56281,1.56478,1.56281,0.0019700000000000273,0.658233890214802,1.56281,32360,1.56281,32379,1.56203,32379,1.5597400000000001,1,1.56115,1.56122,0.02406088877977397,1,fvg_bullish,1.561185,1.0,1,sl_hit,0.22842639593911432,-0.3451776649746216
GBPUSD,LONG,1,2017-05-02 22:00:00+00:00,2017-05-03 07:00:00+00:00,2017-05-03 08:00:00+00:00,43687,43696,43697,1.29172,1.2947600000000001,1.2978000000000003,1.2947600000000001,0.0030400000000001537,3.099781500364268,1.2947600000000001,43692,1.2947600000000001,43693,1.29425,43693,1.2928600000000001,1,1.29234,1.29264,0.16291698991464934,9,fvg_bullish,1.29249,1.0,1,sl_hit,0.0131578947368546,-0.46052631578947273
GBPUSD,LONG,1,2017-11-30 04:00:00+00:00,2017-11-30 09:00:00+00:00,2017-11-30 10:00:00+00:00,47314,47319,47320,1.34561,1.34792,1.35023,1.34792,0.0023100000000000342,1.440534521158131,1.34792,47314,1.34792,47317,1.3468200000000001,47317,1.34479,1,1.3416299999999999,1.34545,1.633475870494864,5,fvg_bullish,1.34354,1.0,1,sl_hit,0.8441558441558829,-0.23376623376622377
GBPUSD,SHORT,-1,2019-05-21 10:00:00+00:00,2019-05-21 15:00:00+00:00,2019-05-21 16:00:00+00:00,56362,56367,56368,1.27369,1.26851,1.26333,1.26851,0.005179999999999962,4.127490039840639,1.26851,56363,1.26851,56366,1.27023,56366,1.27145,-1,1.27075,1.27167,1.1827364554637378,5,fvg_bearish,1.27121,1.0,1,sl_hit,0.4266409266409385,-0.05598455598453737
GBPUSD,LONG,1,2019-06-04 20:00:00+00:00,2019-06-05 23:00:00+00:00,2019-06-06 00:00:00+00:00,56612,56639,56640,1.26793,1.27433,1.28073,1.27433,0.006399999999999961,3.1988575508747084,1.27433,56631,1.27433,56632,1.27263,56632,1.26738,1,1.2680500000000001,1.26809,0.018012222579525453,27,fvg_bullish,1.26807,1.0,1,sl_hit,0.18750000000001518,-0.0593750000000077
GBPUSD,SHORT,-1,2019-06-17 22:00:00+00:00,2019-06-18 02:00:00+00:00,2019-06-18 03:00:00+00:00,56830,56834,56835,1.25406,1.25314,1.2522199999999999,1.25314,0.0009200000000000319,0.6913580246913683,1.25314,56831,1.25314,56832,1.25354,56832,1.25717,-1,1.25414,1.25419,0.032124827902632505,4,fvg_bearish,1.254165,1.0,1,sl_hit,0.45652173913051347,-0.03260869565214505
GBPUSD,LONG,1,2019-06-21 22:00:00+00:00,2019-06-24 00:00:00+00:00,2019-06-24 01:00:00+00:00,56926,56928,56929,1.27348,1.27457,1.27566,1.27457,0.0010900000000000354,0.5136317738135453,1.27457,56926,1.27457,56927,1.2743,56927,1.27241,1,1.27278,1.2732700000000001,0.22573214873318326,2,fvg_bullish,1.273025,1.0,1,sl_hit,0.908256880733958,0.01834862385333062
GBPUSD,SHORT,-1,2019-09-23 11:00:00+00:00,2019-09-23 12:00:00+00:00,2019-09-23 13:00:00+00:00,58499,58500,58501,1.24437,1.24227,1.24017,1.24227,0.0020999999999999908,1.3166144200626533,1.24227,58498,1.24227,58499,1.24359,58499,1.24636,-1,1.2438,1.24426,0.2980101804719342,1,fvg_bearish,1.24403,1.0,1,sl_hit,1.1095238095237874,-0.11904761904765933
GBPUSD,LONG,1,2019-11-28 00:00:00+00:00,2019-11-28 13:00:00+00:00,2019-11-28 14:00:00+00:00,59637,59650,59651,1.29151,1.2950300000000001,1.2985500000000003,1.2950300000000001,0.0035200000000001896,2.281481481481504,1.2950300000000001,59645,1.2950300000000001,59646,1.29437,59646,1.2893,1,1.29151,1.29169,0.0855687606112396,13,fvg_bullish,1.2915999999999999,1.0,1,sl_hit,0.11647727272727255,-0.4374999999999409
GBPUSD,SHORT,-1,2020-08-03 00:00:00+00:00,2020-08-03 01:00:00+00:00,2020-08-03 02:00:00+00:00,63815,63816,63817,1.30994,1.30702,1.3041,1.30702,0.0029200000000000337,1.0197056622599336,1.30702,63814,1.30702,63815,1.30797,63815,1.31052,-1,1.30829,1.30868,0.130653266331696,1,fvg_bearish,1.3084850000000001,1.0,1,sl_hit,0.4075342465753461,-0.1815068493150388
