schema_version,trade_id,symbol,direction,timestamp,session,weekday,bos_detected,bos_strength,choch_detected,choch_strength,fvg_detected,fvg_size,order_block_detected,ob_distance,liquidity_sweep,displacement_strength,d1_bias,h4_bias,trend_alignment,trend_confidence,ema_fast,ema_slow,ema_distance,ema_slope,atr,atr_ratio,candle_range_vs_atr,volatility_regime,rsi,rsi_slope,volume_ratio,momentum_strength,spread,sl_distance,tp_distance,rr_ratio,expected_hold_bars,pnl_r,win,exit_reason,max_favorable_excursion,max_adverse_excursion,ml_probability,ml_threshold,governor_mode,risk_multiplier,market_regime
v1,EURUSD-2024-11-21 09:15:00+00:00-632,EURUSD,SHORT,2024-11-21 09:15:00+00:00,LONDON,3,1,-1.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5469154995085135,1.054560410518792,1.054608652252511,4.824173371908991e-05,-0.0002972736207391691,0.00048642857142860193,1.4526450511945812,1.4185022026432461,HIGH_VOL,21.408450704223426,-7.246520056007341,2.4172595112898234,-4.824173371908991e-05,1.0,0.00048642857142855433,0.0009728571428571087,2.0,12,-1.0,0,SL,0.678414096916203,-1.3568281938328626,0.95,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-21 09:30:00+00:00-633,EURUSD,SHORT,2024-11-21 09:30:00+00:00,LONDON,3,1,-1.0,1,0.0,0,0.0,0,0.0,1,0.0,BEARISH,BEARISH,BEARISH,0.4953238218234216,1.0544537047550975,1.0545628227524126,0.0001091179973151668,-0.00040419994257367975,0.000512857142857172,1.4842377260982123,1.4818941504179264,HIGH_VOL,26.050420168064818,4.6419694638413915,2.666385846672283,-0.0001091179973151668,1.0,0.0005128571428572037,0.0010257142857144075,2.0,12,-1.0,0,SL,1.9888579387184675,-1.735376044568151,0.95,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-21 10:15:00+00:00-634,EURUSD,SHORT,2024-11-21 10:15:00+00:00,LONDON,3,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.4006494143122747,1.0541663752203017,1.0544270693322977,0.0002606941119960293,-0.0005298679846790222,0.0006164285714285971,1.5963743988161017,1.9142526071840946,HIGH_VOL,24.324324324323655,-6.653936545240143,1.7427290493160135,-0.0002606941119960293,1.0,0.0006164285714285178,0.0012328571428572577,2.00000000000036,12,-1.0,0,SL,0.6651216685980069,-2.433371958285356,0.95,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-21 10:30:00+00:00-635,EURUSD,SHORT,2024-11-21 10:30:00+00:00,LONDON,3,1,-1.0,1,0.0,1,0.0,0,0.0,1,0.0,BEARISH,BEARISH,BEARISH,0.44848570239573315,1.054049577580273,1.054368752887894,0.0003191753076210446,-0.0005108329385190569,0.0006435714285714576,1.5997869318181552,1.2119866814649887,HIGH_VOL,28.199052132701254,3.8747278083775996,1.48188386115487,-0.0003191753076210446,1.0,0.000643571428571521,0.00128714285714282,1.999999999999655,12,-1.0,0,SL,0.0,-2.1598224195335445,0.95,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-21 10:45:00+00:00-636,EURUSD,SHORT,2024-11-21 10:45:00+00:00,LONDON,3,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.3960266646312914,1.0540486654297707,1.0543558606177805,0.00030719518800981227,-0.00040503932532676146,0.0007207142857143126,1.7069869734393082,1.928642220019753,HIGH_VOL,42.06500956023097,13.865957427529715,1.621150791617564,-0.00030719518800981227,1.0,0.0007207142857144078,0.0014414285714285935,1.9999999999996918,12,1.9999999999996918,1,TP,3.635282457878565,-0.027750247769938383,0.73,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-21 11:15:00+00:00-637,EURUSD,SHORT,2024-11-21 11:15:00+00:00,LONDON,3,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.43859297963523175,1.0537883179595178,1.0542231070139527,0.00043478905443494753,-0.0005187283366050455,0.0008778571428571683,1.854534480156877,2.096013018714414,HIGH_VOL,31.6091954023004,-4.996461835636595,1.910570889464215,-0.00043478905443494753,1.0,0.0008778571428571524,0.0017557142857143049,2.0,12,-1.0,0,SL,0.8429617575266457,-1.1847030105776126,0.95,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-21 11:30:00+00:00-638,EURUSD,SHORT,2024-11-21 11:30:00+00:00,LONDON,3,1,-1.0,1,0.0,1,0.0,0,0.0,1,0.0,BEARISH,BEARISH,BEARISH,0.559952022410938,1.0535789543443257,1.0541198479153662,0.0005408935710404794,-0.0005874208759759636,0.0009042857142857384,1.7972742759794988,1.1611374407582578,HIGH_VOL,23.14410480349514,-8.465090598805261,1.5318901882723728,-0.0005408935710404794,1.0,0.0009042857142858018,0.0018085714285713816,1.9999999999997544,12,-1.0,0,SL,0.23222748815168437,-1.4044233807264321,0.95,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-21 11:45:00+00:00-639,EURUSD,SHORT,2024-11-21 11:45:00+00:00,LONDON,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5355901536608113,1.053400958692485,1.054025344075548,0.0006243853830629753,-0.0006486188877878885,0.0008950000000000267,1.6804130624287061,0.6480446927374387,HIGH_VOL,26.027397260274768,2.8832924567796283,1.324341378766367,-0.0006243853830629753,1.0,0.0008950000000000902,0.0017899999999999583,1.999999999999752,12,-1.0,0,SL,0.34636871508355216,-1.2849162011171715,0.95,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-21 13:30:00+00:00-640,EURUSD,SHORT,2024-11-21 13:30:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.4539420845608795,1.0527672451780141,1.053557988210775,0.0007907430327609433,-0.000302972708577931,0.0009878571428571594,1.3321774310070595,1.0527838033262387,RANGING,40.02590673575261,-4.578409811011724,0.8318034175963847,-0.0007907430327609433,1.0,0.000987857142857207,0.001975714285714414,2.0,12,-1.0,0,SL,0.4150397686189391,-1.4981923355023585,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 13:45:00+00:00-641,EURUSD,SHORT,2024-11-21 13:45:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.4720036325774722,1.0526941742086795,1.053496890633882,0.0008027164252024654,-0.00031030864109427014,0.0009485714285714415,1.2333983468003893,0.6641566265059184,RANGING,44.07988587731928,4.053979141566664,0.9938401183798479,-0.0008027164252024654,1.0,0.0009485714285715208,0.0018971428571428195,1.999999999999766,12,-1.0,0,SL,0.25301204819276546,-1.6762048192769248,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 14:00:00+00:00-642,EURUSD,SHORT,2024-11-21 14:00:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.47768861135312557,1.052644252855472,1.053444855707063,0.0008006028515910035,-0.0002750411514660378,0.0009271428571428724,1.1701600180301877,0.5177195685670565,RANGING,44.55445544554527,0.47456956822599494,0.8830647949657701,-0.0008006028515910035,1.0,0.0009271428571429041,0.0018542857142858082,2.0,12,-1.0,0,SL,0.4422187981510023,-1.5315870570106833,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 14:15:00+00:00-643,EURUSD,SHORT,2024-11-21 14:15:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.4855692321573396,1.0525705144882842,1.053383096659727,0.000812582171442866,-0.0002602753275169345,0.0008664285714285855,1.0679227010608694,0.6232481450947788,RANGING,32.69537480063852,-11.859080644906754,0.7750685124025016,-0.000812582171442866,1.0,0.0008664285714286013,0.0017328571428572026,2.0,12,-1.0,0,SL,0.0230832646332914,-1.0502885408078393,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 15:15:00+00:00-644,EURUSD,SHORT,2024-11-21 15:15:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.46077706856280076,1.0525664302354867,1.0532637457936713,0.0006973155581846413,-7.782261998534601e-05,0.0008085714285714442,0.937008525784288,1.2738515901060894,RANGING,52.53623188405841,-10.380434782606933,1.3625575876029596,-0.0006973155581846413,1.0,0.0008085714285714918,0.0016171428571429836,2.0,12,-1.0,0,SL,0.8780918727914365,-2.399293286218959,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 15:45:00+00:00-645,EURUSD,SHORT,2024-11-21 15:45:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.43865293498847846,1.0527046741836978,1.0532687941755499,0.000564119991852019,0.00011516107525033625,0.0009914285714285956,1.1116895598894765,1.0590778097982405,RANGING,62.556390977441474,-1.1749523061403337,1.623051853763996,-0.000564119991852019,1.0,0.000991428571428532,0.001982857142857286,2.000000000000224,12,-1.0,0,SL,1.2204610951008459,-1.1801152737753795,0.73,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 16:15:00+00:00-646,EURUSD,SHORT,2024-11-21 16:15:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5169489008528536,1.0526765700233898,1.0532132852039582,0.0005367151805684145,4.946292100971306e-05,0.0010000000000000325,1.1002829298962717,0.8499999999999898,RANGING,53.9730134932524,3.4544949747354536,1.0184429574016647,-0.0005367151805684145,1.0,0.001000000000000112,0.0020000000000000018,1.999999999999778,12,-1.0,0,SL,0.5499999999999889,-1.8299999999997936,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 16:30:00+00:00-647,EURUSD,SHORT,2024-11-21 16:30:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.4924952494395417,1.0527130871640193,1.0532072740194893,0.0004941868554699802,0.00014665692853266243,0.0010200000000000367,1.1151893791487861,0.9607843137254368,RANGING,57.675753228120776,3.7027397348683735,1.4330861012576588,-0.0004941868554699802,1.0,0.0010200000000000209,0.0020400000000000418,2.0,12,-1.0,0,SL,0.5490196078432397,-1.3823529411763553,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 17:30:00+00:00-648,EURUSD,SHORT,2024-11-21 17:30:00+00:00,NEW_YORK,3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.44725088096546983,1.052914013463023,1.0532260737108665,0.00031206024784347086,0.00023744343963327808,0.001046428571428591,1.113010446343775,0.707167235494832,RANGING,57.47899159663871,-3.2655092493830296,1.1943642044449685,-0.00031206024784347086,1.0,0.0010464285714286703,0.0020928571428571185,1.9999999999997877,12,1.9999999999997877,1,TP,2.083276450511816,-0.019112627986259335,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-21 17:45:00+00:00-649,EURUSD,SHORT,2024-11-21 17:45:00+00:00,NEW_YORK,3,1,-1.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.55734579586915,1.0527364883713066,1.0531407374869108,0.00040424911560421606,2.3401207287276904e-05,0.001165000000000019,1.2223179825383075,1.8884120171673335,RANGING,44.647519582245465,-12.831472014393242,1.3576471260753995,-0.00040424911560421606,1.0,0.0011650000000000826,0.0023299999999999432,1.9999999999998095,12,1.9999999999998095,1,TP,3.0643776824032787,-0.3776824034334461,0.95,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-22 07:00:00+00:00-650,EURUSD,SHORT,2024-11-22 07:00:00+00:00,LONDON,4,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5633187697748181,1.0473224814134798,1.0481163870813845,0.0007939056679047152,-7.312365856049219e-05,0.0004678571428571151,1.1060452549814728,1.2396946564886764,RANGING,44.141689373297694,-7.364334723087779,1.0299823633156966,-0.0007939056679047152,1.0,0.000467857142857131,0.000935714285714262,2.0,12,-1.0,0,SL,1.8167938931298544,-2.0519083969467706,0.8400000000000001,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-22 07:15:00+00:00-651,EURUSD,SHORT,2024-11-22 07:15:00+00:00,LONDON,4,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5590853454487713,1.0472565308026722,1.0480580973919185,0.0008015665892462387,-0.00012520711965002818,0.0004449999999999811,1.0373823994672131,1.1910112359554246,RANGING,42.74406332453752,-1.3976260487601735,1.0337046960936398,-0.0008015665892462387,1.0,0.0004450000000000287,0.0008900000000000574,2.0,12,-1.0,0,SL,1.0561797752807642,-1.1460674157302866,0.95,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-22 07:30:00+00:00-652,EURUSD,SHORT,2024-11-22 07:30:00+00:00,LONDON,4,1,-1.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.6874582698278965,1.0471597183452748,1.0479867994549805,0.0008270811097057518,-0.000219949298731148,0.0004292857142857035,0.988405558753461,1.0016638935111957,RANGING,43.19999999999972,0.4559366754621976,1.0234994337485843,-0.0008270811097057518,1.0,0.00042928571428579865,0.0008585714285713753,1.9999999999994829,12,-1.0,0,SL,0.18635607321146422,-1.7237936772042337,0.95,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-22 07:45:00+00:00-653,EURUSD,SHORT,2024-11-22 07:45:00+00:00,LONDON,4,1,-1.0,1,0.0,0,0.0,0,0.0,1,0.0,BEARISH,BEARISH,BEARISH,0.5995034407839771,1.0470921261219153,1.0479265328096872,0.0008344066877719047,-0.0002532874607568125,0.0004328571428571396,0.9864083991211037,1.1551155115510365,RANGING,42.27642276422814,-0.9235772357715817,0.9969657563935848,-0.0008344066877719047,1.0,0.00043285714285712373,0.0008657142857142475,2.0,12,-1.0,0,SL,0.23102310231072876,-1.2244224422440924,0.95,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-22 08:00:00+00:00-654,EURUSD,SHORT,2024-11-22 08:00:00+00:00,LONDON,4,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5088842566760219,1.0470633522055424,1.0478819628955818,0.0008186106900394119,-0.0002920219883038033,0.0004521428571428692,1.0182578621411866,1.393364928910204,RANGING,47.61904761904867,5.342624854820535,1.5242428551116167,-0.0008186106900394119,1.0,0.0004521428571429009,0.0009042857142858018,2.0,12,-1.0,0,SL,1.23854660347565,-2.609794628751631,0.95,0.71,DEFENSIVE,0.5,RANGING
v1,EURUSD-2024-11-22 10:45:00+00:00-655,EURUSD,SHORT,2024-11-22 10:45:00+00:00,LONDON,4,1,-1.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.6469448970892018,1.0472322800014895,1.0476937438547553,0.00046146385326584216,4.9991269753135725e-05,0.0011742857142857468,2.0484705002804082,2.8357664233576325,HIGH_VOL,39.043062200957934,-12.472089314193582,2.0541290770298404,-0.00046146385326584216,1.0,0.0011742857142857943,0.0023485714285715886,2.0,12,2.0,1,TP,9.478102189780447,-0.06812652068113961,0.6200000000000001,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-22 11:00:00+00:00-656,EURUSD,SHORT,2024-11-22 11:00:00+00:00,LONDON,4,1,-1.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.7124400647764143,1.0459701580965857,1.0471559499780982,0.0011857918815125768,-0.0013471507559377205,0.0019442857142857317,3.0040834344995093,5.765613519470896,HIGH_VOL,19.980411361411115,-19.06265083954682,3.2858346202442794,-0.0011857918815125768,1.0,0.0019442857142857317,0.0038885714285714634,2.0,12,-1.0,0,SL,0.09772226304183507,-3.5591476855253363,0.73,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-22 11:15:00+00:00-657,EURUSD,SHORT,2024-11-22 11:15:00+00:00,LONDON,4,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.6633526832222798,1.0454844287540537,1.0469094421358198,0.0014250133817661492,-0.0020474221125150738,0.0024164285714285893,3.237010812362447,2.9423588530889315,HIGH_VOL,39.704797047970516,19.7243856865594,2.990330231709542,-0.0014250133817661492,1.0,0.0024164285714285416,0.004832857142857083,2.0,12,-1.0,0,SL,0.9890629618681319,-1.1835648832397776,0.73,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-22 11:30:00+00:00-658,EURUSD,SHORT,2024-11-22 11:30:00+00:00,LONDON,4,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5296739155560161,1.0451087688727152,1.0466988757775524,0.0015901069048371852,-0.002458143816085112,0.0025214285714285794,2.962900788987724,0.8328611898016934,HIGH_VOL,40.43018592781615,0.7253888798456316,1.9164852341874616,-0.0015901069048371852,1.0,0.0025214285714285634,0.005042857142857127,2.0,12,0.2776203966005369,1,hold_limit,1.213597733710989,-0.868555240793258,0.6200000000000001,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-22 13:00:00+00:00-659,EURUSD,SHORT,2024-11-22 13:00:00+00:00,NEW_YORK,4,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.4558979543885192,1.0436074047003043,1.0456282379817792,0.002020833281474843,-0.0010338623750094644,0.0029092857142857414,1.8639879181730763,0.4846550454211069,HIGH_VOL,39.41018766756017,-2.239711728818179,0.7314444793677878,-0.002020833281474843,1.0,0.0029092857142858364,0.005818571428571451,1.9999999999999236,12,-0.06187085686228481,0,hold_limit,0.8524429167689436,-0.4090351092560678,0.73,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-22 13:15:00+00:00-660,EURUSD,SHORT,2024-11-22 13:15:00+00:00,NEW_YORK,4,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.509804317099174,1.04347812806218,1.045495758060925,0.0020176299987448854,-0.0006963516726277152,0.0029464285714286037,1.748362896560492,0.3631515151515541,HIGH_VOL,39.37060595915624,-0.03958170840393649,0.677007379910734,-0.0020176299987448854,1.0,0.002946428571428683,0.005892857142857144,1.9999999999999247,12,0.37672727272723955,1,hold_limit,0.82812121212118,-0.41745454545455146,0.73,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
v1,EURUSD-2024-11-22 13:30:00+00:00-661,EURUSD,SHORT,2024-11-22 13:30:00+00:00,NEW_YORK,4,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,BEARISH,BEARISH,BEARISH,0.5704680532088908,1.0432735444372105,1.0453323949997124,0.0020588505625018794,-0.0006624134180919228,0.002963571428571462,1.637267668994909,0.5162689804772281,HIGH_VOL,36.18376928236067,-3.186836676795565,0.6543700710421692,-0.0020588505625018794,1.0,0.0029635714285713988,0.00592714285714302,2.000000000000075,12,-0.2733188720173487,0,hold_limit,0.5128946734153493,-0.7254760183176318,0.73,0.7599999999999999,DEFENSIVE,0.5,HIGH_VOL
