<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.07.10	16:32:54.509		4092.53			4
2026.07.10	16:32:54.662	4092.04	4092.49			6
2026.07.10	16:32:54.710	4092.03	4092.40			6
2026.07.10	16:32:54.761		4092.44			4
2026.07.10	16:32:54.810	4092.04				2
2026.07.10	16:32:54.861	4092.08				2
2026.07.10	16:32:54.913	4092.03	4092.38			6
2026.07.10	16:32:54.961		4092.45			4
2026.07.10	16:32:55.010		4092.41			4
2026.07.10	16:32:55.112	4091.99	4092.38			6
2026.07.10	16:32:55.209		4092.40			4
2026.07.10	16:32:55.260	4092.03	4092.43			6
2026.07.10	16:32:55.415		4092.44			4
2026.07.10	16:32:55.610		4092.41			4
2026.07.10	16:32:55.667		4092.43			4
2026.07.10	16:32:55.710	4092.00	4092.35			6
2026.07.10	16:32:55.762		4092.40			4
2026.07.10	16:32:56.364	4091.91	4092.29			6
2026.07.10	16:32:56.416	4091.83	4092.23			6
2026.07.10	16:32:56.464	4091.66	4092.02			6
2026.07.10	16:32:56.516	4091.68	4092.09			6
2026.07.10	16:32:56.567	4091.58	4092.00			6
2026.07.10	16:32:56.613	4091.64	4092.04			6
2026.07.10	16:32:56.665	4091.74	4092.06			6
2026.07.10	16:32:57.114	4091.72	4092.04			6
2026.07.10	16:32:57.266	4091.64	4092.02			6
2026.07.10	16:32:57.315	4091.59	4092.00			6
2026.07.10	16:32:57.366	4091.66	4092.03			6
2026.07.10	16:32:57.414	4091.71				2
2026.07.10	16:32:57.614	4091.79	4092.05			6
2026.07.10	16:32:57.665	4091.76	4092.16			6
2026.07.10	16:32:57.714	4091.63	4092.03			6
2026.07.10	16:32:57.765	4091.76	4092.02			6
2026.07.10	16:32:57.814	4091.75	4092.06			6
2026.07.10	16:32:57.918		4092.01			4
2026.07.10	16:32:57.968	4091.55	4091.93			6
2026.07.10	16:32:58.220	4091.69	4091.94			6
2026.07.10	16:32:58.268	4091.72	4091.98			6
2026.07.10	16:32:58.319	4091.70	4092.00			6
2026.07.10	16:32:58.367	4091.69	4091.97			6
2026.07.10	16:32:58.417	4091.67	4091.99			6
2026.07.10	16:32:58.469	4091.60	4092.01			6
2026.07.10	16:32:58.517	4091.59	4091.96			6
2026.07.10	16:32:58.623	4091.58	4091.91			6
2026.07.10	16:32:58.672	4091.53	4091.90			6
2026.07.10	16:32:58.771		4091.86			4
2026.07.10	16:32:58.821	4091.60				2
2026.07.10	16:32:58.869	4091.54	4091.91			6
2026.07.10	16:32:58.920		4091.93			4
2026.07.10	16:32:58.970	4091.57	4091.94			6
2026.07.10	16:32:59.069	4091.50	4091.87			6
2026.07.10	16:32:59.120	4091.55	4091.90			6
2026.07.10	16:32:59.419	4091.57	4091.89			6
2026.07.10	16:32:59.468		4091.90			4
2026.07.10	16:32:59.721	4091.62	4092.00			6
2026.07.10	16:33:00.030	4091.62				2
2026.07.10	16:33:00.077	4091.66	4091.99			6
2026.07.10	16:33:00.121	4091.82	4092.16			6
2026.07.10	16:33:00.171	4091.72	4092.00			6
2026.07.10	16:33:00.220	4091.68				2
2026.07.10	16:33:00.272	4091.70	4092.16			6
2026.07.10	16:33:00.290		4092.18			4
2026.07.10	16:33:00.319	4091.77	4092.21			6
2026.07.10	16:33:00.419	4091.72	4092.03			6
2026.07.10	16:33:00.471		4092.05			4
2026.07.10	16:33:00.471	4091.71	4092.14			6
2026.07.10	16:33:00.621	4091.62	4092.00			6
2026.07.10	16:33:00.659		4092.02			4
2026.07.10	16:33:00.672	4091.81	4092.07			6
2026.07.10	16:33:00.723	4091.98	4092.33			6
2026.07.10	16:33:00.771	4092.15	4092.46			6
2026.07.10	16:33:00.821	4092.14	4092.49			6
2026.07.10	16:33:00.841		4092.51			4
2026.07.10	16:33:00.870	4092.08				2
2026.07.10	16:33:00.920	4092.29	4092.68			6
2026.07.10	16:33:00.969		4092.69			4
2026.07.10	16:33:01.009		4092.71			4
2026.07.10	16:33:01.023	4092.13	4092.45			6
2026.07.10	16:33:01.071	4091.97	4092.35			6
2026.07.10	16:33:01.122	4092.03	4092.40			6
2026.07.10	16:33:01.169		4092.42			4
2026.07.10	16:33:01.171	4092.06	4092.44			6
2026.07.10	16:33:01.219	4092.07	4092.32			6
2026.07.10	16:33:01.269	4092.06	4092.44			6
2026.07.10	16:33:01.338		4092.46			4
2026.07.10	16:33:01.372	4092.09	4092.48			6
2026.07.10	16:33:01.418	4092.08	4092.45			6
2026.07.10	16:33:01.521		4092.34			4
2026.07.10	16:33:01.521		4092.36			4
2026.07.10	16:33:01.570	4091.94	4092.28			6
2026.07.10	16:33:01.621		4092.29			4
2026.07.10	16:33:01.671	4091.97	4092.33			6
2026.07.10	16:33:01.687		4092.35			4
2026.07.10	16:33:01.870		4092.43			4
2026.07.10	16:33:01.879	4091.84	4092.19			6
2026.07.10	16:33:01.930	4091.68	4092.17			6
2026.07.10	16:33:01.979	4091.58	4092.07			6
2026.07.10	16:33:02.031	4091.53	4091.92			6
2026.07.10	16:33:02.035		4091.94			4
2026.07.10	16:33:02.075		4091.91			4
2026.07.10	16:33:02.125		4091.90			4
2026.07.10	16:33:02.207		4091.92			4
2026.07.10	16:33:02.369		4092.00			4
2026.07.10	16:33:02.518		4091.91			4
2026.07.10	16:33:02.536		4091.93			4
2026.07.10	16:33:02.575	4091.56				2
2026.07.10	16:33:02.620	4091.51	4091.90			6
2026.07.10	16:33:02.670	4091.53	4091.91			6
2026.07.10	16:33:02.719	4091.65	4091.90			6
2026.07.10	16:33:02.723		4091.92			4
2026.07.10	16:33:02.898		4092.00			4
2026.07.10	16:33:03.020	4091.63	4091.89			6
2026.07.10	16:33:03.072	4091.48	4091.80			6
2026.07.10	16:33:03.073		4091.82			4
2026.07.10	16:33:03.121	4091.46	4091.83			6
2026.07.10	16:33:03.171	4091.53	4091.85			6
2026.07.10	16:33:03.222	4091.49	4091.86			6
2026.07.10	16:33:03.320	4091.50	4091.87			6
2026.07.10	16:33:03.373	4091.55	4091.86			6
2026.07.10	16:33:03.421	4091.47	4091.84			6
2026.07.10	16:33:03.473		4091.87			4
2026.07.10	16:33:03.522	4091.44	4091.75			6
2026.07.10	16:33:03.580	4091.00	4091.43			6
2026.07.10	16:33:03.626	4090.93	4091.40			6
2026.07.10	16:33:03.677		4091.30			4
2026.07.10	16:33:03.873	4090.98	4091.37			6
2026.07.10	16:33:03.927		4091.41			4
2026.07.10	16:33:03.979		4091.37			4
2026.07.10	16:33:04.027	4090.75	4091.25			6
2026.07.10	16:33:04.070		4091.27			4
2026.07.10	16:33:04.076	4090.83				2
2026.07.10	16:33:04.125	4090.77	4091.16			6
2026.07.10	16:33:04.179	4090.73	4091.15			6
2026.07.10	16:33:04.224		4091.29			4
2026.07.10	16:33:04.255		4091.31			4
2026.07.10	16:33:04.279	4091.22	4091.54			6
2026.07.10	16:33:04.326	4091.14	4091.53			6
2026.07.10	16:33:04.374	4091.10	4091.49			6
2026.07.10	16:33:04.431		4091.51			4
2026.07.10	16:33:04.476		4091.50			4
2026.07.10	16:33:04.524		4091.51			4
2026.07.10	16:33:04.575		4091.53			4
2026.07.10	16:33:04.615		4091.55			4
2026.07.10	16:33:04.628		4091.50			4
2026.07.10	16:33:04.676	4091.09	4091.51			6
2026.07.10	16:33:04.729	4091.03	4091.42			6
2026.07.10	16:33:04.794		4091.44			4
2026.07.10	16:33:04.876	4091.00	4091.41			6
2026.07.10	16:33:04.918		4091.42			4
2026.07.10	16:33:04.928	4090.97	4091.34			6
2026.07.10	16:33:04.965		4091.36			4
2026.07.10	16:33:04.975	4090.99				2
2026.07.10	16:33:05.026	4090.87	4091.30			6
2026.07.10	16:33:05.077	4090.89	4091.32			6
2026.07.10	16:33:05.125	4091.01	4091.35			6
2026.07.10	16:33:05.151		4091.37			4
2026.07.10	16:33:05.178	4090.89	4091.33			6
2026.07.10	16:33:05.225		4091.34			4
2026.07.10	16:33:05.277	4090.98	4091.45			6
2026.07.10	16:33:05.330	4091.01	4091.41			6
2026.07.10	16:33:05.337		4091.43			4
2026.07.10	16:33:05.379	4090.92	4091.30			6
2026.07.10	16:33:05.428		4091.32			4
2026.07.10	16:33:05.525	4090.90	4091.35			6
2026.07.10	16:33:05.542		4091.37			4
