strategy,sl_atr_mult,symbol,side,total_trades,win_rate,profit_factor,expectancy,net_r,max_drawdown,sharpe,average_holding_bars
B_mitigation,1.5,GBPUSD,SHORT,4122,0.3672974284327996,0.9893100562323505,-0.006232045155103683,-25.68849012933738,-189.69405227763824,-0.2898547476923991,9.283357593401261
B_mitigation,1.5,XAUUSD,ALL,8054,0.3817978644151974,1.0746484140987063,0.04238281549574883,341.35119600276107,-184.87634349108455,2.7130393323606588,9.40402284579091
B_mitigation,1.5,XAUUSD,LONG,4446,0.3990103463787674,1.1506700013351097,0.0843526605541484,375.0319288237438,-70.77683432625292,3.9631711242360494,9.386864597390913
B_mitigation,1.5,XAUUSD,SHORT,3608,0.36058758314855877,0.9838360214154367,-0.009335014639961937,-33.68073282098267,-134.02196694540285,-0.4067027900496427,9.425166297117517
B_mitigation,2.0,EURUSD,ALL,8451,0.4229085315347296,1.0618195188193538,0.030235898978680512,255.52358226882902,-123.52371673806076,2.2606070553096616,11.21760738374157
B_mitigation,2.0,EURUSD,LONG,4293,0.42441183321686465,1.052543744436838,0.02586945796573011,111.05758304687936,-96.72041122152886,1.380200453765097,11.215001164686699
B_mitigation,2.0,EURUSD,SHORT,4158,0.4213564213564214,1.0715263581895234,0.034744107556986446,144.46599922194963,-123.52371673806053,1.8198486729307202,11.22029822029822
B_mitigation,2.0,GBPUSD,ALL,8327,0.4274048276690285,1.0652500057945118,0.03175035313882132,264.3851905869651,-100.7890624163098,2.3747840759288703,11.33985829230215
B_mitigation,2.0,GBPUSD,LONG,4205,0.43686087990487515,1.10974069379072,0.05286941946643054,222.31590885634043,-78.0462047228024,2.791644147678549,11.33769322235434
B_mitigation,2.0,GBPUSD,SHORT,4122,0.4177583697234352,1.0207641802294678,0.01020603632475127,42.06928173062473,-100.78906241631039,0.5409211976865363,11.342066957787482
B_mitigation,2.0,XAUUSD,ALL,8054,0.4274894462378942,1.063848175501204,0.03095290190981806,249.29467198167464,-211.4734364036355,2.292648593052218,11.339210330270673
B_mitigation,2.0,XAUUSD,LONG,4446,0.449842555105713,1.1485701963781365,0.07070403931837997,314.3501588095174,-83.018589883897,3.8584195440804994,11.286774628879892
B_mitigation,2.0,XAUUSD,SHORT,3608,0.3999445676274945,0.963628839414558,-0.0180308998968522,-65.05548682784274,-145.25337355929867,-0.9047366581518201,11.403824833702883
