experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos
D,XAUUSD_20974_LONG_4344,XAUUSD,LONG,2025-08-08 06:45:00+00:00,2025-08-08 10:45:00+00:00,2025-08-08 11:45:00+00:00,20990,1.0,0.8443347709832371,-1.0,-30.0,4,london,bos,internal,none,16,12,-0.7862068965517574,11,0.03501945525288664,7.1731517509727825,0.32101167315177054,3.677042801556459,0,0.49999999999999994,-0.8660254037844387
D,XAUUSD_20974_LONG_4344,XAUUSD,LONG,2025-08-08 06:45:00+00:00,2025-08-08 10:45:00+00:00,2025-08-08 11:45:00+00:00,20990,1.5,0.8443347709832371,-1.0,-30.0,4,london,bos,internal,none,16,12,-0.7862068965517574,11,0.03501945525288664,7.1731517509727825,0.32101167315177054,3.677042801556459,0,0.49999999999999994,-0.8660254037844387
D,XAUUSD_20974_LONG_4344,XAUUSD,LONG,2025-08-08 06:45:00+00:00,2025-08-08 10:45:00+00:00,2025-08-08 13:15:00+00:00,20990,2.0,0.8443347709832371,-1.0,-30.0,10,london,bos,internal,none,16,12,-0.7862068965517574,11,0.03501945525288664,7.1731517509727825,0.32101167315177054,3.677042801556459,0,0.49999999999999994,-0.8660254037844387
D,XAUUSD_21056_SHORT_4356,XAUUSD,SHORT,2025-08-11 04:15:00+00:00,2025-08-11 09:15:00+00:00,2025-08-11 12:15:00+00:00,21076,1.0,0.8660881132336163,3.0,90.0,12,london,bos,internal,none,20,18,-0.40648854961823633,18,,,-3.6880556629300476,-0.863161963664487,0,0.7071067811865476,-0.7071067811865475
D,XAUUSD_21056_SHORT_4356,XAUUSD,SHORT,2025-08-11 04:15:00+00:00,2025-08-11 09:15:00+00:00,2025-08-11 13:15:00+00:00,21076,1.5,0.8660881132336163,0.9957479706223347,29.87243911867004,16,london,bos,internal,none,20,18,-0.40648854961823633,18,,,-3.6880556629300476,-0.863161963664487,0,0.7071067811865476,-0.7071067811865475
D,XAUUSD_21056_SHORT_4356,XAUUSD,SHORT,2025-08-11 04:15:00+00:00,2025-08-11 09:15:00+00:00,2025-08-11 13:15:00+00:00,21076,2.0,0.8660881132336163,0.746810977966751,22.40432933900253,16,london,bos,internal,none,20,18,-0.40648854961823633,18,,,-3.6880556629300476,-0.863161963664487,0,0.7071067811865476,-0.7071067811865475
D,XAUUSD_21096_SHORT_4364,XAUUSD,SHORT,2025-08-11 14:15:00+00:00,2025-08-11 15:15:00+00:00,2025-08-11 15:30:00+00:00,21100,1.0,0.8777977246763388,-1.0,-30.0,1,overlap,bos,internal,none,4,1,0.3495934959348211,2,,,-3.1083032490975393,-0.12996389891701432,0,-0.7071067811865471,-0.7071067811865479
D,XAUUSD_21096_SHORT_4364,XAUUSD,SHORT,2025-08-11 14:15:00+00:00,2025-08-11 15:15:00+00:00,2025-08-11 15:45:00+00:00,21100,1.5,0.8777977246763388,-1.0,-30.0,2,overlap,bos,internal,none,4,1,0.3495934959348211,2,,,-3.1083032490975393,-0.12996389891701432,0,-0.7071067811865471,-0.7071067811865479
D,XAUUSD_21096_SHORT_4364,XAUUSD,SHORT,2025-08-11 14:15:00+00:00,2025-08-11 15:15:00+00:00,2025-08-11 16:45:00+00:00,21100,2.0,0.8777977246763388,-1.0,-30.0,6,overlap,bos,internal,none,4,1,0.3495934959348211,2,,,-3.1083032490975393,-0.12996389891701432,0,-0.7071067811865471,-0.7071067811865479
D,XAUUSD_21260_LONG_4395,XAUUSD,LONG,2025-08-13 09:15:00+00:00,2025-08-13 11:30:00+00:00,2025-08-13 15:30:00+00:00,21269,1.0,0.8889320806225505,-1.0,-30.0,16,london,bos,internal,none,9,2,-0.036231884057880276,2,0.2017434620174209,7.202988792029902,-0.22665006226646425,3.584059775840564,0,0.258819045102521,-0.9659258262890682
D,XAUUSD_21260_LONG_4395,XAUUSD,LONG,2025-08-13 09:15:00+00:00,2025-08-13 11:30:00+00:00,2025-08-13 15:30:00+00:00,21269,1.5,0.8889320806225505,-0.26899128268989453,-8.069738480696836,16,london,bos,internal,none,9,2,-0.036231884057880276,2,0.2017434620174209,7.202988792029902,-0.22665006226646425,3.584059775840564,0,0.258819045102521,-0.9659258262890682
D,XAUUSD_21260_LONG_4395,XAUUSD,LONG,2025-08-13 09:15:00+00:00,2025-08-13 11:30:00+00:00,2025-08-13 15:30:00+00:00,21269,2.0,0.8889320806225505,-0.2017434620174209,-6.052303860522628,16,london,bos,internal,none,9,2,-0.036231884057880276,2,0.2017434620174209,7.202988792029902,-0.22665006226646425,3.584059775840564,0,0.258819045102521,-0.9659258262890682
D,XAUUSD_21274_LONG_4399,XAUUSD,LONG,2025-08-13 12:45:00+00:00,2025-08-13 13:15:00+00:00,2025-08-13 14:15:00+00:00,21276,1.0,0.872135825750059,-1.0,-30.0,4,overlap,bos,internal,none,2,1,0.6315789473681691,2,1.2323232323232485,8.330808080808064,-0.6414141414141263,4.661616161616128,0,-0.2588190451025208,-0.9659258262890683
