streak_id,sign,length,start_time,end_time,pnl_r,pnl_usd,start_setup_id,end_setup_id
174,win,2,2025-08-26 17:45:00+00:00,2025-08-26 17:45:00+00:00,1.7050538525268268,51.15161557580481,EURUSD_21140_LONG_4477,EURUSD_21140_LONG_4477
175,loss,2,2025-08-26 17:45:00+00:00,2025-08-26 17:45:00+00:00,-0.0309343434342048,-0.9280303030261465,GBPUSD_21140_LONG_4277,GBPUSD_21140_LONG_4277
176,win,7,2025-08-26 17:45:00+00:00,2025-08-27 22:45:00+00:00,13.574568955389719,407.2370686616916,EURUSD_21140_LONG_4477,GBPUSD_21257_LONG_4302
177,loss,10,2025-08-28 10:45:00+00:00,2025-08-29 01:00:00+00:00,-8.398709315375843,-251.9612794612753,EURUSD_21306_SHORT_4518,XAUUSD_22319_LONG_4628
178,win,3,2025-08-29 01:00:00+00:00,2025-08-29 01:00:00+00:00,0.985704389445059,29.571131683351773,XAUUSD_22313_LONG_4627,XAUUSD_22313_LONG_4627
179,loss,2,2025-08-29 02:30:00+00:00,2025-08-29 02:30:00+00:00,-1.5378513536816574,-46.13554061044972,XAUUSD_22319_LONG_4628,XAUUSD_22319_LONG_4628
180,win,12,2025-08-29 14:00:00+00:00,2025-09-02 15:45:00+00:00,14.301508274701794,429.04524824105374,GBPUSD_21421_SHORT_4337,EURUSD_21612_SHORT_4593
181,loss,3,2025-09-03 13:30:00+00:00,2025-09-03 15:45:00+00:00,-2.436186186186134,-73.08558558558401,EURUSD_21709_LONG_4614,EURUSD_21709_LONG_4614
182,win,12,2025-09-03 16:15:00+00:00,2025-09-03 21:45:00+00:00,23.706277343044075,711.1883202913224,XAUUSD_22644_LONG_4690,GBPUSD_21733_LONG_4408
183,loss,11,2025-09-03 21:45:00+00:00,2025-09-04 17:00:00+00:00,-7.115943273016556,-213.47829819049667,EURUSD_21733_LONG_4619,XAUUSD_22738_LONG_4707
184,win,1,2025-09-04 19:15:00+00:00,2025-09-04 19:15:00+00:00,0.4884792626727356,14.654377880182068,GBPUSD_21817_SHORT_4421,GBPUSD_21817_SHORT_4421
