experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos,ob_state_code,session_bucket_code,structure_event_code,structure_scale_code,side_code,symbol_code,ml_oof_probability
D,XAUUSD_24590_SHORT_5109,XAUUSD,SHORT,2025-10-02 17:45:00+00:00,2025-10-02 18:15:00+00:00,2025-10-02 20:00:00+00:00,24592,1.0,0.869197655798266,-1.0,-30.0,7,new_york,bos,internal,none,2,1,-0.09803921568628034,1,-5.219966052681199,-1.5375620795875837,-5.396869302822625,0.9241214559627827,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,0.0,1.0,2.0,0.6334057147659439
D,XAUUSD_24590_SHORT_5109,XAUUSD,SHORT,2025-10-02 17:45:00+00:00,2025-10-02 18:15:00+00:00,2025-10-02 22:00:00+00:00,24592,1.5,0.869197655798266,-1.0,-30.0,15,new_york,bos,internal,none,2,1,-0.09803921568628034,1,-5.219966052681199,-1.5375620795875837,-5.396869302822625,0.9241214559627827,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,0.0,1.0,2.0,0.6334057147659439
D,XAUUSD_24590_SHORT_5109,XAUUSD,SHORT,2025-10-02 17:45:00+00:00,2025-10-02 18:15:00+00:00,2025-10-02 22:00:00+00:00,24592,2.0,0.869197655798266,-1.0,-30.0,15,new_york,bos,internal,none,2,1,-0.09803921568628034,1,-5.219966052681199,-1.5375620795875837,-5.396869302822625,0.9241214559627827,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,0.0,1.0,2.0,0.6334057147659439
D,XAUUSD_24676_LONG_5125,XAUUSD,LONG,2025-10-03 16:15:00+00:00,2025-10-03 16:45:00+00:00,2025-10-03 17:00:00+00:00,24678,1.0,0.8787629104778373,-1.0,-30.0,1,overlap,bos,internal,none,2,1,-1.0,1,-2.1460181721004514,9.495456974879858,-0.686905398182749,4.191769107429248,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.5544717109608687
D,XAUUSD_24676_LONG_5125,XAUUSD,LONG,2025-10-03 16:15:00+00:00,2025-10-03 16:45:00+00:00,2025-10-03 17:00:00+00:00,24678,1.5,0.8787629104778373,-1.0,-30.0,1,overlap,bos,internal,none,2,1,-1.0,1,-2.1460181721004514,9.495456974879858,-0.686905398182749,4.191769107429248,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.5544717109608687
D,XAUUSD_24676_LONG_5125,XAUUSD,LONG,2025-10-03 16:15:00+00:00,2025-10-03 16:45:00+00:00,2025-10-03 17:00:00+00:00,24678,2.0,0.8787629104778373,-1.0,-30.0,1,overlap,bos,internal,none,2,1,-1.0,1,-2.1460181721004514,9.495456974879858,-0.686905398182749,4.191769107429248,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.5544717109608687
D,XAUUSD_25047_SHORT_5208,XAUUSD,SHORT,2025-10-09 17:00:00+00:00,2025-10-09 17:30:00+00:00,2025-10-09 17:45:00+00:00,25049,1.0,0.8717411371812228,-1.0,-30.0,1,new_york,bos,internal,none,2,1,-1.0,1,-4.249823025934767,2.4704292425510164,-4.1390050839822585,0.4964283415921036,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,0.0,1.0,2.0,0.59743858894107
D,XAUUSD_25047_SHORT_5208,XAUUSD,SHORT,2025-10-09 17:00:00+00:00,2025-10-09 17:30:00+00:00,2025-10-09 17:45:00+00:00,25049,1.5,0.8717411371812228,-1.0,-30.0,1,new_york,bos,internal,none,2,1,-1.0,1,-4.249823025934767,2.4704292425510164,-4.1390050839822585,0.4964283415921036,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,0.0,1.0,2.0,0.59743858894107
D,XAUUSD_25047_SHORT_5208,XAUUSD,SHORT,2025-10-09 17:00:00+00:00,2025-10-09 17:30:00+00:00,2025-10-09 20:15:00+00:00,25049,2.0,0.8717411371812228,3.0,90.0,11,new_york,bos,internal,none,2,1,-1.0,1,-4.249823025934767,2.4704292425510164,-4.1390050839822585,0.4964283415921036,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,0.0,1.0,2.0,0.59743858894107
D,XAUUSD_25281_LONG_5261,XAUUSD,LONG,2025-10-14 06:30:00+00:00,2025-10-14 07:30:00+00:00,2025-10-14 08:30:00+00:00,25285,1.0,0.8799078916097548,-1.0,-30.0,4,london,bos,internal,none,4,1,0.7920792079207386,2,5.768191642651157,19.7454971181551,-0.8069164265130175,5.995136887607947,0,0.9659258262890683,-0.25881904510252063,0.0,0.0,0.0,0.0,0.0,2.0,0.7167970916790137
