setup_id,bar_idx,time,reason
EURUSD_676_LONG_130,682,2024-10-29 04:15:00+00:00,FVG_INVALIDATED
EURUSD_677_LONG_131,681,2024-10-29 04:00:00+00:00,FVG_INVALIDATED
EURUSD_688_SHORT_132,709,2024-10-29 11:00:00+00:00,FVG_INVALIDATED
EURUSD_689_SHORT_133,709,2024-10-29 11:00:00+00:00,FVG_INVALIDATED
EURUSD_691_SHORT_134,707,2024-10-29 10:30:00+00:00,FVG_INVALIDATED
EURUSD_697_LONG_135,701,2024-10-29 09:00:00+00:00,FVG_INVALIDATED
EURUSD_698_LONG_136,701,2024-10-29 09:00:00+00:00,FVG_INVALIDATED
EURUSD_699_LONG_137,701,2024-10-29 09:00:00+00:00,FVG_INVALIDATED
EURUSD_702_SHORT_138,703,2024-10-29 09:30:00+00:00,FVG_INVALIDATED
EURUSD_704_LONG_139,705,2024-10-29 10:00:00+00:00,FVG_INVALIDATED
EURUSD_714_LONG_140,716,2024-10-29 12:45:00+00:00,FVG_INVALIDATED
EURUSD_717_SHORT_141,751,2024-10-29 21:30:00+00:00,OPPOSITE_CHOCH
EURUSD_719_SHORT_142,751,2024-10-29 21:30:00+00:00,OPPOSITE_CHOCH
EURUSD_727_SHORT_144,734,2024-10-29 17:15:00+00:00,FVG_INVALIDATED
EURUSD_728_SHORT_145,732,2024-10-29 16:45:00+00:00,FVG_INVALIDATED
EURUSD_734_LONG_147,737,2024-10-29 18:00:00+00:00,FVG_INVALIDATED
EURUSD_737_SHORT_148,741,2024-10-29 19:00:00+00:00,FVG_INVALIDATED
EURUSD_738_SHORT_149,741,2024-10-29 19:00:00+00:00,FVG_INVALIDATED
EURUSD_741_LONG_151,743,2024-10-29 19:30:00+00:00,FVG_INVALIDATED
EURUSD_742_LONG_152,743,2024-10-29 19:30:00+00:00,FVG_INVALIDATED
EURUSD_751_LONG_154,786,2024-10-30 06:15:00+00:00,OPPOSITE_CHOCH
EURUSD_762_SHORT_156,766,2024-10-30 01:15:00+00:00,OPPOSITE_BOS
EURUSD_766_LONG_157,786,2024-10-30 06:15:00+00:00,OPPOSITE_CHOCH
EURUSD_774_LONG_160,781,2024-10-30 05:00:00+00:00,FVG_INVALIDATED
EURUSD_776_SHORT_161,778,2024-10-30 04:15:00+00:00,FVG_INVALIDATED
EURUSD_779_LONG_162,780,2024-10-30 04:45:00+00:00,FVG_INVALIDATED
EURUSD_781_SHORT_163,797,2024-10-30 09:00:00+00:00,OPPOSITE_BOS
EURUSD_786_SHORT_164,797,2024-10-30 09:00:00+00:00,OPPOSITE_BOS
EURUSD_787_SHORT_165,791,2024-10-30 07:30:00+00:00,FVG_INVALIDATED
EURUSD_791_LONG_166,795,2024-10-30 08:30:00+00:00,FVG_INVALIDATED
EURUSD_800_LONG_169,802,2024-10-30 10:15:00+00:00,FVG_INVALIDATED
EURUSD_802_SHORT_170,804,2024-10-30 10:45:00+00:00,OPPOSITE_BOS
EURUSD_807_LONG_172,808,2024-10-30 11:45:00+00:00,FVG_INVALIDATED
EURUSD_816_SHORT_173,828,2024-10-30 16:45:00+00:00,FVG_INVALIDATED
EURUSD_823_SHORT_175,827,2024-10-30 16:30:00+00:00,FVG_INVALIDATED
EURUSD_827_LONG_176,872,2024-10-31 03:45:00+00:00,OPPOSITE_CHOCH
EURUSD_828_LONG_177,872,2024-10-31 03:45:00+00:00,OPPOSITE_CHOCH
EURUSD_865_LONG_183,870,2024-10-31 03:15:00+00:00,FVG_INVALIDATED
EURUSD_871_SHORT_184,873,2024-10-31 04:00:00+00:00,FVG_INVALIDATED
EURUSD_876_SHORT_185,898,2024-10-31 10:15:00+00:00,OPPOSITE_BOS
EURUSD_877_SHORT_186,881,2024-10-31 06:00:00+00:00,FVG_INVALIDATED
EURUSD_885_SHORT_187,892,2024-10-31 08:45:00+00:00,FVG_INVALIDATED
