experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos,ob_state_code,session_bucket_code,structure_event_code,structure_scale_code,side_code,symbol_code,ml_oof_probability,hour_x,fvg_size_atr,hour_y,hour
D,GBPUSD_19519_LONG_3927,GBPUSD,LONG,2025-08-01 15:45:00+00:00,2025-08-01 16:15:00+00:00,2025-08-01 18:15:00+00:00,19521,2.0,0.8171996278850736,-1.0,-30.0,8,overlap,bos,internal,none,2,1,-0.0503089143865804,1,0.5317532664843436,4.632634457611634,-0.3786083257368851,6.508659981768449,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,1.0,0.5991714830884138,,5.296160267111935,16,15
D,GBPUSD_27015_SHORT_5608,GBPUSD,SHORT,2025-11-19 17:45:00+00:00,2025-11-19 18:15:00+00:00,2025-11-19 22:15:00+00:00,27017,1.0,0.8693050554161248,2.142027114267284,64.26081342801852,16,new_york,bos,internal,none,2,1,0.2321428571427898,2,-9.08327953518422,-5.205939315687603,-4.871530019367408,0.424790187217539,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,1.0,1.0,0.6385880250250663,,2.19300699300705,18,17
D,GBPUSD_27015_SHORT_5608,GBPUSD,SHORT,2025-11-19 17:45:00+00:00,2025-11-19 18:15:00+00:00,2025-11-19 22:15:00+00:00,27017,1.5,0.8693050554161248,1.4280180761781898,42.84054228534569,16,new_york,bos,internal,none,2,1,0.2321428571427898,2,-9.08327953518422,-5.205939315687603,-4.871530019367408,0.424790187217539,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,1.0,1.0,0.6385880250250663,,2.19300699300705,18,17
D,GBPUSD_27015_SHORT_5608,GBPUSD,SHORT,2025-11-19 17:45:00+00:00,2025-11-19 18:15:00+00:00,2025-11-19 22:15:00+00:00,27017,2.0,0.8693050554161248,1.071013557133642,32.13040671400926,16,new_york,bos,internal,none,2,1,0.2321428571427898,2,-9.08327953518422,-5.205939315687603,-4.871530019367408,0.424790187217539,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,1.0,1.0,0.6385880250250663,,2.19300699300705,18,17
D,GBPUSD_39976_LONG_8430,GBPUSD,LONG,2026-05-29 18:00:00+00:00,2026-05-29 18:30:00+00:00,2026-05-29 20:15:00+00:00,39978,1.0,0.8352944798231264,-1.0,-30.0,7,new_york,bos,internal,none,2,1,0.1652421652421665,2,1.8488888888889696,9.271111111111294,-1.1911111111110246,5.484444444444476,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,0.0,1.0,0.6030464801721109,,3.379642365887379,18,18
D,GBPUSD_39976_LONG_8430,GBPUSD,LONG,2026-05-29 18:00:00+00:00,2026-05-29 18:30:00+00:00,2026-05-29 22:30:00+00:00,39978,1.5,0.8352944798231264,-0.1007407407407432,-3.0222222222222968,16,new_york,bos,internal,none,2,1,0.1652421652421665,2,1.8488888888889696,9.271111111111294,-1.1911111111110246,5.484444444444476,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,0.0,1.0,0.6030464801721109,,3.379642365887379,18,18
D,GBPUSD_39976_LONG_8430,GBPUSD,LONG,2026-05-29 18:00:00+00:00,2026-05-29 18:30:00+00:00,2026-05-29 22:30:00+00:00,39978,2.0,0.8352944798231264,-0.0755555555555574,-2.266666666666723,16,new_york,bos,internal,none,2,1,0.1652421652421665,2,1.8488888888889696,9.271111111111294,-1.1911111111110246,5.484444444444476,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,0.0,1.0,0.6030464801721109,,3.379642365887379,18,18
D,XAUUSD_148_SHORT_38,XAUUSD,SHORT,2024-09-19 15:45:00+00:00,2024-09-19 16:15:00+00:00,2024-09-19 17:30:00+00:00,150,1.0,0.8582769142206587,-1.0,-30.0,5,overlap,bos,internal,none,2,1,0.0570824524312855,2,-5.1562659411665175,7.541574562149378,-3.8993368474750087,1.2545485461656345,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,2.0,0.6412151623787089,,2.498396528956843,16,15
D,XAUUSD_148_SHORT_38,XAUUSD,SHORT,2024-09-19 15:45:00+00:00,2024-09-19 16:15:00+00:00,2024-09-19 18:30:00+00:00,150,1.5,0.8582769142206587,-1.0,-30.0,9,overlap,bos,internal,none,2,1,0.0570824524312855,2,-5.1562659411665175,7.541574562149378,-3.8993368474750087,1.2545485461656345,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,2.0,0.6412151623787089,,2.498396528956843,16,15
D,XAUUSD_148_SHORT_38,XAUUSD,SHORT,2024-09-19 15:45:00+00:00,2024-09-19 16:15:00+00:00,2024-09-19 18:45:00+00:00,150,2.0,0.8582769142206587,-1.0,-30.0,10,overlap,bos,internal,none,2,1,0.0570824524312855,2,-5.1562659411665175,7.541574562149378,-3.8993368474750087,1.2545485461656345,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,2.0,0.6412151623787089,,2.498396528956843,16,15
D,XAUUSD_8911_LONG_1749,XAUUSD,LONG,2025-02-04 15:30:00+00:00,2025-02-04 16:00:00+00:00,2025-02-04 17:00:00+00:00,8913,1.0,0.8609555959431878,3.0,90.0,4,overlap,bos,internal,none,2,1,0.5213379469435041,2,0.5546588407923418,15.574101247249004,-1.0964783565664116,5.158840792369898,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.663347309275912,,2.47764849969374,16,15
D,XAUUSD_8911_LONG_1749,XAUUSD,LONG,2025-02-04 15:30:00+00:00,2025-02-04 16:00:00+00:00,2025-02-04 20:00:00+00:00,8913,1.5,0.8609555959431878,1.9652726828075688,58.95818048422706,16,overlap,bos,internal,none,2,1,0.5213379469435041,2,0.5546588407923418,15.574101247249004,-1.0964783565664116,5.158840792369898,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.663347309275912,,2.47764849969374,16,15
D,XAUUSD_8911_LONG_1749,XAUUSD,LONG,2025-02-04 15:30:00+00:00,2025-02-04 16:00:00+00:00,2025-02-04 20:00:00+00:00,8913,2.0,0.8609555959431878,1.4739545121056767,44.2186353631703,16,overlap,bos,internal,none,2,1,0.5213379469435041,2,0.5546588407923418,15.574101247249004,-1.0964783565664116,5.158840792369898,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.663347309275912,,2.47764849969374,16,15
D,XAUUSD_17194_LONG_3525,XAUUSD,LONG,2025-06-11 21:15:00+00:00,2025-06-11 21:45:00+00:00,2025-06-12 01:15:00+00:00,17196,1.0,0.8910393148934456,3.0,90.0,10,new_york,bos,internal,none,2,1,-0.1008836524300701,1,-0.8433927754915422,6.731138545953386,-0.5441243712848096,3.9288980338363535,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.0,0.0,0.0,2.0,0.5894098718051453,,2.253941908713695,21,21
