file,label,symbol,strategy,side,create_time,entry_time,sl_atr_mult,pnl_r,entry_price,sl_price,tp_price,fvg_size_atr,ml_confidence,atr_entry,first_mitigation_time
results\setup_examples\trade_015.png,LOSS,GBPUSD,B_mitigation,SHORT,2026-05-29 11:15:00+00:00,2026-05-29 14:30:00+00:00,1.5,-1.0,1.3421699999999999,1.343067857142857,1.3394764285714285,0.24822695035478193,0.8793522137826301,0.0005985714285714007,2026-05-29 11:30:00+00:00
results\setup_examples\trade_016.png,LOSS,XAUUSD,B_mitigation,SHORT,2026-05-29 14:15:00+00:00,2026-05-29 14:45:00+00:00,1.5,-1.0,4534.37,4547.0599999999995,4496.300000000001,0.12055588711743113,0.880791013913848,8.459999999999777,2026-05-29 14:45:00+00:00
results\setup_examples\trade_017.png,LOSS,GBPUSD,B_mitigation,SHORT,2026-05-29 10:15:00+00:00,2026-05-29 15:45:00+00:00,1.5,-1.0,1.34338,1.3443410714285713,1.340496785714286,0.9105691056911597,0.8769638440290396,0.0006407142857142485,2026-05-29 15:45:00+00:00
results\setup_examples\trade_018.png,LOSS,XAUUSD,B_mitigation,LONG,2026-05-29 18:00:00+00:00,2026-05-29 18:30:00+00:00,1.5,-0.2283619146601841,4564.11,4539.368571428571,4638.334285714286,1.4301384889619777,0.8760023995949942,16.494285714285784,2026-05-29 18:30:00+00:00
results\setup_examples\trade_019.png,LOSS,EURUSD,B_mitigation,LONG,2026-05-29 18:00:00+00:00,2026-05-29 19:30:00+00:00,1.5,-0.4299274148520992,1.16675,1.1654707142857144,1.170587857142857,2.590604026845746,0.8800522949939038,0.0008528571428570997,2026-05-29 19:30:00+00:00
results\setup_examples\trade_020.png,LOSS,EURUSD,B_mitigation,LONG,2026-05-29 21:30:00+00:00,2026-05-29 22:45:00+00:00,1.5,-0.5436893203885709,1.16646,1.165797857142857,1.1684464285714287,0.0738786279684124,0.8794707493757096,0.0004414285714285609,2026-05-29 21:45:00+00:00
results\setup_examples\trade_021.png,WIN,XAUUSD,B_mitigation,LONG,2026-05-27 07:45:00+00:00,2026-05-29 07:45:00+00:00,1.5,0.6947702551000526,4508.45,4499.223928571429,4536.128214285714,0.7277896233119908,0.8856506044549353,6.150714285714263,2026-05-27 08:00:00+00:00
results\setup_examples\trade_022.png,WIN,GBPUSD,B_mitigation,SHORT,2026-05-28 21:30:00+00:00,2026-05-29 08:00:00+00:00,1.5,3.0,1.34396,1.3445203571428572,1.3422789285714287,0.3438596491228491,0.8381133599015488,0.00037357142857141756,2026-05-28 21:45:00+00:00
results\setup_examples\trade_023.png,WIN,XAUUSD,B_mitigation,LONG,2026-05-29 07:30:00+00:00,2026-05-29 08:30:00+00:00,1.5,2.6025536538983403,4508.47,4499.2675,4536.0775,0.4782928623988221,0.8810485419290803,6.135000000000089,2026-05-29 07:45:00+00:00
results\setup_examples\trade_024.png,WIN,XAUUSD,B_mitigation,LONG,2026-05-29 04:15:00+00:00,2026-05-29 08:30:00+00:00,1.5,2.9568052159738816,4505.21,4496.0075,4532.8175,0.9629629629630276,0.8819229943883384,6.135000000000089,2026-05-29 04:30:00+00:00
